Path ID,Step 1 Option,Step 2 Option,Step 3 Option,Step 4 Option,Step 1 Description,Step 2 Description,Step 3 Description,Step 4 Description
1,1A,2A,3A,4A,"Standard Plan – Rs.25,000/month (5 years)","Keep repayment same, save extra","Stick to plan, cut non-essentials","Take new loan Rs.20,000/month"
2,1A,2A,3A,4B,"Standard Plan – Rs.25,000/month (5 years)","Keep repayment same, save extra","Stick to plan, cut non-essentials",Delay Master’s until current loan finished
3,1A,2A,3A,4C,"Standard Plan – Rs.25,000/month (5 years)","Keep repayment same, save extra","Stick to plan, cut non-essentials",Seek scholarship (minimize loan)
4,1A,2A,3A,4D,"Standard Plan – Rs.25,000/month (5 years)","Keep repayment same, save extra","Stick to plan, cut non-essentials",Drop plan to avoid over-debt
5,1A,2A,3B,4A,"Standard Plan – Rs.25,000/month (5 years)","Keep repayment same, save extra","Take advance salary Rs.100,000 (10 months)","Take new loan Rs.20,000/month"
6,1A,2A,3B,4B,"Standard Plan – Rs.25,000/month (5 years)","Keep repayment same, save extra","Take advance salary Rs.100,000 (10 months)",Delay Master’s until current loan finished
7,1A,2A,3B,4C,"Standard Plan – Rs.25,000/month (5 years)","Keep repayment same, save extra","Take advance salary Rs.100,000 (10 months)",Seek scholarship (minimize loan)
8,1A,2A,3B,4D,"Standard Plan – Rs.25,000/month (5 years)","Keep repayment same, save extra","Take advance salary Rs.100,000 (10 months)",Drop plan to avoid over-debt
9,1A,2A,3C,4A,"Standard Plan – Rs.25,000/month (5 years)","Keep repayment same, save extra",Skip one month payment,"Take new loan Rs.20,000/month"
10,1A,2A,3C,4B,"Standard Plan – Rs.25,000/month (5 years)","Keep repayment same, save extra",Skip one month payment,Delay Master’s until current loan finished
11,1A,2A,3C,4C,"Standard Plan – Rs.25,000/month (5 years)","Keep repayment same, save extra",Skip one month payment,Seek scholarship (minimize loan)
12,1A,2A,3C,4D,"Standard Plan – Rs.25,000/month (5 years)","Keep repayment same, save extra",Skip one month payment,Drop plan to avoid over-debt
13,1A,2A,3D,4A,"Standard Plan – Rs.25,000/month (5 years)","Keep repayment same, save extra",Take new credit card to cover shortfall,"Take new loan Rs.20,000/month"
14,1A,2A,3D,4B,"Standard Plan – Rs.25,000/month (5 years)","Keep repayment same, save extra",Take new credit card to cover shortfall,Delay Master’s until current loan finished
15,1A,2A,3D,4C,"Standard Plan – Rs.25,000/month (5 years)","Keep repayment same, save extra",Take new credit card to cover shortfall,Seek scholarship (minimize loan)
16,1A,2A,3D,4D,"Standard Plan – Rs.25,000/month (5 years)","Keep repayment same, save extra",Take new credit card to cover shortfall,Drop plan to avoid over-debt
17,1A,2B,3A,4A,"Standard Plan – Rs.25,000/month (5 years)","Increase repayment (~Rs.40,000), finish early","Stick to plan, cut non-essentials","Take new loan Rs.20,000/month"
18,1A,2B,3A,4B,"Standard Plan – Rs.25,000/month (5 years)","Increase repayment (~Rs.40,000), finish early","Stick to plan, cut non-essentials",Delay Master’s until current loan finished
19,1A,2B,3A,4C,"Standard Plan – Rs.25,000/month (5 years)","Increase repayment (~Rs.40,000), finish early","Stick to plan, cut non-essentials",Seek scholarship (minimize loan)
20,1A,2B,3A,4D,"Standard Plan – Rs.25,000/month (5 years)","Increase repayment (~Rs.40,000), finish early","Stick to plan, cut non-essentials",Drop plan to avoid over-debt
21,1A,2B,3B,4A,"Standard Plan – Rs.25,000/month (5 years)","Increase repayment (~Rs.40,000), finish early","Take advance salary Rs.100,000 (10 months)","Take new loan Rs.20,000/month"
22,1A,2B,3B,4B,"Standard Plan – Rs.25,000/month (5 years)","Increase repayment (~Rs.40,000), finish early","Take advance salary Rs.100,000 (10 months)",Delay Master’s until current loan finished
23,1A,2B,3B,4C,"Standard Plan – Rs.25,000/month (5 years)","Increase repayment (~Rs.40,000), finish early","Take advance salary Rs.100,000 (10 months)",Seek scholarship (minimize loan)
